Company,TypeName,Inches,Ram,OS,Price_euros,Touchscreen,CPU_company,CPU_freq,CPU_model,GPU_company,GPU_model
0,1,2.8094026953624978,1.6094379124341003,3,6.274762021241939,0,1,1.308332819650179,2,3,3
3,1,2.9069010598473755,2.1972245773362196,3,6.885509670034818,0,1,0.9555114450274363,3,3,0
2,3,2.8094026953624978,2.1972245773362196,3,7.000480301964336,0,1,0.9555114450274363,3,2,5
5,3,2.5649493574615367,2.1972245773362196,2,7.32052696227274,0,1,0.832909122935104,3,2,2
3,1,2.70805020110221,2.1972245773362196,3,6.7580945044277305,0,1,0.9555114450274363,3,2,2
4,1,2.8094026953624978,1.6094379124341003,3,5.991464547107982,0,0,1.252762968495368,5,0,3
0,1,2.8094026953624978,1.6094379124341003,3,5.981414211254481,0,0,1.3862943611198906,5,0,3
2,0,2.8094026953624978,2.833213344056216,3,7.2078598714324755,0,1,1.33500106673234,4,3,3
3,3,2.8094026953624978,2.1972245773362196,3,6.551080335043404,0,1,1.0296194171811581,4,3,1
3,1,2.8094026953624978,2.1972245773362196,3,6.396912988410589,0,1,1.252762968495368,3,2,2
1,0,2.8094026953624978,2.833213344056216,3,7.27931883541462,0,1,1.33500106673234,4,3,1
2,3,2.6602595372658615,2.1972245773362196,3,7.408530566894626,0,1,1.0296194171811581,4,2,5
1,0,2.8094026953624978,2.1972245773362196,3,6.551080335043404,0,0,1.3862943611198906,5,0,3
0,1,2.8094026953624978,2.1972245773362196,3,6.536691597591305,0,1,1.0296194171811581,4,3,3
3,1,2.6602595372658615,2.833213344056216,3,7.088408778675395,0,1,1.0296194171811581,4,2,5
2,0,2.8094026953624978,2.1972245773362196,3,7.086737934510577,0,1,1.252762968495368,3,3,1
1,3,2.70805020110221,2.1972245773362196,3,6.956545443151569,0,1,1.308332819650179,4,2,2
0,2,2.6602595372658615,2.1972245773362196,3,6.742880635791903,1,1,0.9555114450274363,3,2,5
2,1,2.8094026953624978,2.1972245773362196,0,6.398428531339882,0,1,1.308332819650179,4,0,3
2,1,2.8094026953624978,1.6094379124341003,0,6.186208623900494,0,1,1.0986122886681098,2,0,3
1,1,2.8094026953624978,1.9459101490553132,3,6.359573868672378,0,1,1.2237754316221157,2,3,0
3,0,2.8094026953624978,2.5649493574615367,3,7.1308988302963465,0,1,1.33500106673234,4,3,1
3,1,2.8094026953624978,2.1972245773362196,3,6.579251212010101,0,1,1.308332819650179,4,0,4
3,1,2.8094026953624978,1.6094379124341003,3,5.857933154483459,0,0,0.9162907318741551,5,0,3
2,1,2.8094026953624978,2.1972245773362196,0,6.473890696352274,0,1,0.9555114450274363,3,0,4
3,3,2.6602595372658615,2.1972245773362196,3,7.02108396428914,0,1,1.308332819650179,4,3,3
5,3,2.6741486494265287,2.1972245773362196,2,7.201170883281678,1,1,1.252762968495368,3,2,2
3,1,2.70805020110221,1.9459101490553132,3,6.492239835020471,0,1,1.252762968495368,3,3,0
4,1,2.8094026953624978,1.6094379124341003,3,6.030444846748866,0,1,1.0986122886681098,2,2,2
1,3,2.70805020110221,2.1972245773362196,3,7.085064293952548,0,1,1.308332819650179,4,3,0
5,0,2.8094026953624978,2.833213344056216,3,7.170119543449628,0,1,1.33500106673234,4,3,3
4,1,2.70805020110221,2.1972245773362196,3,7.300472814267799,0,1,1.308332819650179,4,2,2
1,3,2.8094026953624978,2.833213344056216,3,7.141245122350491,0,1,1.0296194171811581,4,3,3
2,3,2.6602595372658615,2.1972245773362196,3,7.22983877815125,1,1,1.2237754316221157,4,2,3
4,2,2.6602595372658615,2.1972245773362196,3,7.24422751560335,1,1,1.252762968495368,3,2,2
3,1,2.70805020110221,1.6094379124341003,3,6.583409222158765,0,1,0.9555114450274363,3,2,5
2,3,2.6602595372658615,2.1972245773362196,3,7.396335293800808,0,1,0.9555114450274363,3,2,5
3,2,2.6602595372658615,2.1972245773362196,3,7.244220372720696,1,1,0.9555114450274363,3,2,5
3,1,2.70805020110221,2.1972245773362196,3,6.98933526597456,0,1,1.0296194171811581,4,2,5
2,1,2.8094026953624978,2.1972245773362196,3,7.031149210745764,0,1,1.0296194171811581,4,3,0
1,1,2.9069010598473755,1.6094379124341003,3,6.336825731146441,0,1,1.0986122886681098,2,3,0
1,1,2.8094026953624978,2.1972245773362196,3,7.020190708311925,0,1,1.0296194171811581,4,3,0
0,1,2.8094026953624978,1.9459101490553132,3,6.173786103901937,1,1,1.2237754316221157,2,2,2
5,0,2.8094026953624978,2.833213344056216,3,7.715346593932951,0,1,1.33500106673234,4,3,1
4,1,2.8094026953624978,2.1972245773362196,1,6.4457198193855785,0,1,1.252762968495368,3,3,0
3,1,2.9069010598473755,2.833213344056216,3,7.148345743900068,0,1,1.0296194171811581,4,3,3
0,1,2.8094026953624978,1.6094379124341003,3,6.113682179832232,0,0,1.3862943611198906,5,0,3
3,1,2.8094026953624978,1.6094379124341003,1,5.560681631015528,0,1,0.9555114450274363,0,2,2
3,1,2.70805020110221,2.1972245773362196,3,6.70073110954781,0,1,0.9555114450274363,3,2,5
1,1,2.70805020110221,1.6094379124341003,2,5.631175938885108,0,0,0.9162907318741551,5,0,3
2,1,2.9069010598473755,2.833213344056216,3,7.242082359256962,0,1,1.0296194171811581,4,0,4
