Company,TypeName,Inches,Ram,Price_euros,Touchscreen,CPU_freq,CPU_model,GPU_model,OS_No OS,OS_Other,OS_Windows 10,OS_Windows 7,GPU_company_ARM,GPU_company_Intel,GPU_company_Nvidia
5,0,2.8094026953624978,2.1972245773362196,7.047517221357296,0,1.33500106673234,4,1,False,False,True,False,False,False,True
2,2,2.6602595372658615,2.833213344056216,7.549609165154532,1,0.832909122935104,4,2,False,False,True,False,False,True,False
2,3,2.6602595372658615,1.6094379124341003,6.708511342992233,0,0.9555114450274363,3,4,False,False,True,False,False,False,False
3,1,2.9069010598473755,2.1972245773362196,6.985641817639208,0,1.252762968495368,3,0,False,False,True,False,False,False,True
3,1,2.8094026953624978,1.6094379124341003,6.560323202124582,0,1.2237754316221157,2,2,False,False,True,False,False,True,False
5,0,2.8094026953624978,2.1972245773362196,7.114769448366463,0,1.2809338454620642,4,1,False,False,True,False,False,False,True
1,2,2.6602595372658615,2.1972245773362196,7.214504414151143,1,1.252762968495368,3,2,False,False,True,False,False,True,False
3,1,2.6602595372658615,2.1972245773362196,6.8679744089702925,0,1.252762968495368,3,2,False,False,True,False,False,True,False
5,1,2.8094026953624978,2.833213344056216,7.247080584585756,0,1.252762968495368,4,0,False,False,True,False,False,False,True
4,0,2.9069010598473755,2.833213344056216,7.919716125876165,0,1.308332819650179,4,1,False,False,True,False,False,False,True
3,1,2.8094026953624978,1.9459101490553132,6.272877006546167,0,1.308332819650179,5,4,False,False,True,False,False,False,False
3,1,2.8094026953624978,2.1972245773362196,6.1023348559394055,0,1.252762968495368,5,3,False,False,True,False,False,False,False
1,0,2.9069010598473755,2.1972245773362196,7.080026499922591,0,1.33500106673234,4,1,False,False,True,False,False,False,True
2,1,2.8094026953624978,1.6094379124341003,6.039397200863284,0,1.0986122886681098,2,2,False,False,True,False,False,True,False
2,3,2.8094026953624978,2.1972245773362196,6.956545443151569,0,0.9555114450274363,3,0,False,False,True,False,False,False,True
2,1,2.8094026953624978,1.0986122886681098,5.940171252720432,0,0.9555114450274363,5,2,False,False,True,False,False,True,False
